name,radius,latitude,longitude,date
 الوادي الجديد ,374.24,23.9802763,27.7269966,2022-02-03
 مطروح ,230.26,29.9387816,26.4894728,2020-01-01
 البحر الأحمر ,194.71,24.6601831,34.1399929,2020-01-08
 أسوان ,141.3,24.091071,32.897306,2020-01-29
 المنيا ,101.36,28.2125404,30.9123741,2020-03-18
 جنوب سيناء ,99.77,29.2076755,33.8119441,2020-01-28
 شمال سيناء ,96.06,30.5903474,33.7052032,2021-11-21
 أسيوط ,90.84,27.1868641,31.1716218,2020-03-19
 الجيزة ,64.78,29.9870753,31.2118063,2020-03-28
 سوهاج ,59.76,26.7624628,32.0909936,2020-03-19
 بني سويف ,59.05,28.8382688,30.8544768,2020-01-05
 قنا ,58.63,26.0105579,33.1299211,2020-02-19
 البحيرة ,55.93,30.7915206,30.3465488,2020-01-03
 السويس ,53.53,29.974498,32.537086,2020-02-24
 الفيوم ,43.95,29.340737,30.6201045,2020-03-19
 الاسماعيلية ,40.16,30.3671977,32.1565462,2020-01-15
 الشرقية ,39.54,30.6332775,31.7893739,2020-01-07
 الدقهلية ,33.56,31.1380046,31.8882499,2020-01-01
 كفر الشيخ ,33.22,31.3814765,30.8513566,2020-01-04
 القاهرة ,31.34,30.0352073,31.5633702,2022-08-23
 المنوفية ,28.2,30.4370098,30.7466852,2020-01-16
 الأقصر ,27.7,25.702096,32.647186,2020-02-19
 الإسكندرية ,27.06,31.199004,29.894378,2020-01-29
 الغربية ,24.86,30.8393003,30.9963429,2020-01-10
 بور سعيد ,20.69,31.263235,32.305505,2020-04-25
 القليوبية ,18.92,30.3336293,31.2213569,2020-01-01
 دمياط ,17.02,31.4167427,31.8213657,2020-01-29
